Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
Entertainment Network (India) Ltd.,Media and Communications,Small-Cap,July-2019,11572,0.48
Genus Power Infrastructures Ltd.,Capital Goods,Small-Cap,July-2019,220727,0.47
Sterling Tools Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,22727,0.44
Tata Coffee Ltd.,FMCG,Small-Cap,July-2019,50036,0.39
The Jammu & Kashmir Bank Ltd.,Financials,Small-Cap,July-2019,90723,0.34
HEG Ltd.,Capital Goods,Small-Cap,July-2019,2671,0.33
Avanti Feeds Ltd.,FMCG,Small-Cap,July-2019,10020,0.33
Thyrocare Technologies Ltd.,Healthcare,Small-Cap,July-2019,7035,0.32
Camlin Fine Sciences Ltd.,Chemicals,Small-Cap,July-2019,50800,0.28
Matrimony.Com Ltd.,Technology,Small-Cap,July-2019,4525,0.28
MAS Financial Services Ltd.,Financials,Small-Cap,July-2019,4514,0.27
Ahluwalia Contracts (India) Ltd.,Construction,Small-Cap,July-2019,7886,0.25
IFGL Refractories Ltd.,Capital Goods,Small-Cap,July-2019,15221,0.25
JTEKT India Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,28500,0.24
Taj GVK Hotels & Resorts Ltd.,Travel,Small-Cap,July-2019,13000,0.23
Vindhya Telelinks Ltd.,Infrastructure,Small-Cap,July-2019,2000,0.22
Sharda Cropchem Ltd.,Chemicals,Small-Cap,July-2019,7494,0.22
Schneider Electric Infrastructure Ltd.,Capital Goods,Small-Cap,July-2019,22030,0.19
Savita Oil Technologies Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,1731,0.18
Welspun Corp Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,13197,0.17
Sundaram-Clayton Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,700,0.16
IG Petrochemicals Ltd.,Chemicals,Small-Cap,July-2019,6700,0.15
CMI FPE Ltd.,Capital Goods,Small-Cap,July-2019,1385,0.14
Neuland Laboratories Ltd.,Healthcare,Small-Cap,July-2019,2702,0.14
Kirloskar Pneumatic Company Ltd.,Capital Goods,Small-Cap,July-2019,6860,0.13
Sharda Motor Industries Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,1088,0.13
Music Broadcast Ltd.,Media and Communications,Small-Cap,July-2019,23079,0.12
Astrazeneca Pharma India Ltd.,Healthcare,Small-Cap,July-2019,428,0.09
Chambal Fertilisers & Chemicals Ltd.,Chemicals,Small-Cap,July-2019,5117,0.08
Wheels India Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,967,0.07
Indostar Capital Finance Ltd.,Financials,Small-Cap,July-2019,2059,0.07
Pokarna Ltd.,Construction,Small-Cap,July-2019,5000,0.06
Dewan Housing Finance Corporation Ltd.,Financials,Small-Cap,July-2019,3495,0.02
Gokaldas Exports Ltd.,Textile,Small-Cap,July-2019,2000,0.02
Reliance Capital Ltd.,Financials,Small-Cap,July-2019,2386,0.01
Reliance Infrastructure Ltd.,Energy,Small-Cap,July-2019,2875,0.01
Deccan Cements Ltd.,Construction,Small-Cap,July-2019,145,0.01
Nesco Ltd.,Capital Goods,Small-Cap,July-2019,128,0.01
Reliance Power Ltd.,Energy,Small-Cap,July-2019,22343,0.01
Housing & Urban Development Corporation Ltd.,Financials,Small-Cap,July-2019,3647,0.01
Bombay Dyeing & Manufacturing Company Ltd.,Textile,Small-Cap,July-2019,49,0.00
IFCI Ltd.,Financials,Small-Cap,July-2019,385,0.00
Essel Propack Ltd.,Consumer Durables,Small-Cap,July-2019,64,0.00
Uflex Ltd.,Consumer Durables,Small-Cap,July-2019,20,0.00
Himachal Futuristic Communications Ltd.,Media and Communications,Small-Cap,July-2019,370,0.00
Jain Irrigation Systems Ltd.,Consumer Durables,Small-Cap,July-2019,160,0.00
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Chemicals,Small-Cap,July-2019,47,0.00
Centrum Capital Ltd.,Financials,Small-Cap,July-2019,79,0.00
Greaves Cotton Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,61,0.00
Swan Energy Ltd.,Textile,Small-Cap,July-2019,44,0.00
Zensar Technologies Ltd.,Technology,Small-Cap,July-2019,32,0.00
Bliss GVS Pharma Ltd.,Healthcare,Small-Cap,July-2019,18,0.00
GIC Housing Finance Ltd.,Financials,Small-Cap,July-2019,16,0.00
Jai Corp Ltd.,Consumer Durables,Small-Cap,July-2019,24,0.00
Nava Bharat Ventures Ltd.,Energy,Small-Cap,July-2019,49,0.00
MMTC Ltd.,Miscellaneous,Small-Cap,July-2019,77,0.00
Hindustan Copper Ltd.,Metals,Small-Cap,July-2019,114,0.00
Himatsingka Seide Ltd.,Textile,Small-Cap,July-2019,23,0.00
Trident Ltd.,Textile,Small-Cap,July-2019,76,0.00
VenkyS (India) Ltd.,FMCG,Small-Cap,July-2019,3,0.00
Balmer Lawrie & Company Ltd.,Diversified,Small-Cap,July-2019,22,0.00
Linde India Ltd.,Energy,Small-Cap,July-2019,12,0.00
Shipping Corporation Of India Ltd.,Logistics,Small-Cap,July-2019,86,0.00
ITI Ltd.,Media and Communications,Small-Cap,July-2019,13,0.00
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,Small-Cap,July-2019,71,0.00
Caplin Point Laboratories Ltd.,Healthcare,Small-Cap,July-2019,12,0.00
JK Tyre & Industries Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,54,0.00
Shilpa Medicare Ltd.,Healthcare,Small-Cap,July-2019,13,0.00
Eveready Industries (India) Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,20,0.00
Saregama India Ltd.,Media and Communications,Small-Cap,July-2019,59,0.00
India Tourism Development Corporation Ltd.,Travel,Small-Cap,July-2019,2,0.00
Wockhardt Ltd.,Healthcare,Small-Cap,July-2019,14,0.00
Andhra Bank,Financials,Small-Cap,July-2019,138,0.00
Granules India Ltd.,Healthcare,Small-Cap,July-2019,70,0.00
Jindal Stainless Ltd.,Metals,Small-Cap,July-2019,71,0.00
Suprajit Engineering Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,36,0.00
Bank Of Maharashtra,Financials,Small-Cap,July-2019,177,0.00
Jaiprakash Associates Ltd.,Construction,Small-Cap,July-2019,754,0.00
Jet Airways (India) Ltd.,Travel,Small-Cap,July-2019,14,0.00
IDFC Ltd.,Financials,Small-Cap,July-2019,608,0.00
Suzlon Energy Ltd.,Capital Goods,Small-Cap,July-2019,1701,0.00
Reliance Communications Ltd.,Media and Communications,Small-Cap,July-2019,1285,0.00
Allcargo Logistics Ltd.,Logistics,Small-Cap,July-2019,39,0.00
Network 18 Media & Investment Ltd.,Media and Communications,Small-Cap,July-2019,130,0.00
TV18 Broadcast Ltd.,Media and Communications,Small-Cap,July-2019,327,0.00
Meghmani Organics Ltd.,Chemicals,Small-Cap,July-2019,68,0.00
Omaxe Ltd.,Construction,Small-Cap,July-2019,23,0.00
Take Solutions Ltd.,Technology,Small-Cap,July-2019,25,0.00
The Lakshmi Vilas Bank Ltd.,Financials,Small-Cap,July-2019,149,0.00
Shankara Building Products Ltd.,Metals,Small-Cap,July-2019,5,0.00
Advanced Enzyme Technologies Ltd.,Healthcare,Small-Cap,July-2019,17,0.00
Indiabulls Integrated Services Ltd.,Miscellaneous,Small-Cap,July-2019,34,0.00
Just Dial Ltd.,Miscellaneous,Small-Cap,July-2019,18,0.00
United Bank of India,Financials,Small-Cap,July-2019,115,0.00
Narayana Hrudayalaya Ltd.,Healthcare,Small-Cap,July-2019,26,0.00
Cochin Shipyard Ltd.,Automobile and Ancillaries,Small-Cap,July-2019,16,0.00
KIOCL Ltd,Energy,Small-Cap,July-2019,98,0.00
SH Kelkar & Co Ltd.,Chemicals,Small-Cap,July-2019,24,0.00
Indian Terrain Fashions Ltd.,Textile,Small-Cap,July-2019,73,0.00
PC Jeweller Ltd.,Retail and Other Services,Small-Cap,July-2019,77,0.00
Parag Milk Foods Ltd.,FMCG,Small-Cap,July-2019,23,0.00
Coffee Day Enterprises Ltd.,Travel,Small-Cap,July-2019,43,0.00
Infibeam Avenues Ltd.,Technology,Small-Cap,July-2019,140,0.00
Jindal Stainless (Hisar) Ltd.,Metals,Small-Cap,July-2019,51,0.00
Adani Green Energy Ltd.,Energy,Small-Cap,July-2019,80,0.00

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
